iter	RMSE
0	13.92560389
1	13.82796931
2	13.71551106
3	13.61643711
4	13.51166396
5	13.42264258
6	13.33447781
7	13.25592469
8	13.1697973
9	13.06114235
10	12.95349772
11	12.87951974
12	12.76765647
13	12.6550902
14	12.56893281
15	12.47100477
16	12.36993326
17	12.26292995
18	12.15524437
19	12.07251266
20	11.99018773
21	11.88359349
22	11.78460749
23	11.70657583
24	11.62180525
25	11.52449598
26	11.43034138
27	11.3461972
28	11.2776754
29	11.18368239
30	11.13389481
31	11.05278117
32	10.99067328
33	10.92203387
34	10.85927907
35	10.77790112
36	10.6769239
37	10.62839212
38	10.58122323
39	10.49481937
40	10.42251507
41	10.34381329
42	10.26719092
43	10.19941515
44	10.13260313
45	10.06083521
46	9.984976837
47	9.917396884
48	9.885346393
49	9.816211581
50	9.75642896
51	9.681462796
52	9.60999914
53	9.546358074
54	9.491063221
55	9.436103192
56	9.369128845
57	9.328786061
58	9.2592398
59	9.208727993
60	9.162465149
61	9.123212935
62	9.074183004
63	9.036564681
64	8.986157255
65	8.935171687
66	8.878380426
67	8.839781463
68	8.792433653
69	8.747252446
70	8.689188952
71	8.641006632
72	8.584113143
73	8.533091998
74	8.46404845
75	8.429983171
76	8.365549352
77	8.320643249
78	8.272782466
79	8.219164906
80	8.184610789
81	8.13947829
82	8.098665549
83	8.051781668
84	8.004468826
85	7.953521947
86	7.912818668
87	7.869667232
88	7.830410242
89	7.773641712
90	7.727441124
91	7.684546583
92	7.646233517
93	7.619296034
94	7.589190499
95	7.550256211
96	7.491198405
97	7.474441313
98	7.416175153
99	7.381523323
100	7.323081182
101	7.275628211
102	7.223016441
103	7.169274139
104	7.13764059
105	7.116388737
106	7.090922312
107	7.066202935
108	7.018566606
109	6.980546042
110	6.955435887
111	6.918606548
112	6.868613069
113	6.833680197
114	6.808860113
115	6.76648492
116	6.740618562
117	6.695571425
118	6.662886836
119	6.635521518
120	6.599359892
121	6.554532589
122	6.521483273
123	6.491121828
124	6.450886673
125	6.439768516
126	6.400283521
127	6.385140342
128	6.370726847
129	6.35478001
130	6.341008738
131	6.322736081
132	6.270562756
133	6.237378464
134	6.202264956
135	6.192256301
136	6.14728401
137	6.122827878
138	6.112845717
139	6.080064163
140	6.063232365
141	6.026638788
142	6.001632678
143	5.975287484
144	5.948215655
145	5.916073322
146	5.904194917
147	5.864578267
148	5.85301956
149	5.811234646
150	5.771747771
151	5.753451214
152	5.724870228
153	5.681066023
154	5.632471961
155	5.594888278
156	5.556851853
157	5.526721216
158	5.519014816
159	5.474532219
160	5.465863411
161	5.455464865
162	5.422032753
163	5.391775046
164	5.375912439
165	5.368538448
166	5.350834613
167	5.332089098
168	5.303648201
169	5.25707046
170	5.223137831
171	5.187159267
172	5.153119203
173	5.142234917
174	5.135384857
175	5.110108803
176	5.103287134
177	5.068729527
178	5.047691332
179	5.02163905
180	4.985277648
181	4.97598878
182	4.956572126
183	4.923398864
184	4.904340634
185	4.89014387
186	4.884000869
187	4.856358794
188	4.818577093
189	4.81203311
190	4.777216317
191	4.749131614
192	4.741087332
193	4.712347627
194	4.687401079
195	4.654777414
196	4.648515024
197	4.605366176
198	4.601536472
199	4.566597417
200	4.539540663
201	4.51514841
202	4.510390162
203	4.487664997
204	4.459073782
205	4.43537047
206	4.408058136
207	4.382163954
208	4.352675299
209	4.322428304
210	4.301909015
211	4.27871373
212	4.257053136
213	4.228784845
214	4.210063404
215	4.190695281
216	4.177232185
217	4.170218679
218	4.134075341
219	4.130643893
220	4.094441442
221	4.070066219
222	4.038320472
223	4.027161646
224	4.02298171
225	4.000469641
226	3.977808405
227	3.974301165
228	3.971925771
229	3.949329154
230	3.917413884
231	3.892624728
232	3.872024782
233	3.858277496
234	3.83901292
235	3.817651274
236	3.815189596
237	3.787430859
238	3.763453228
239	3.741527994
240	3.731255203
241	3.712472406
242	3.70248798
243	3.685824631
244	3.665106482
245	3.654874081
246	3.631970896
247	3.601847943
248	3.584661405
249	3.57161539
250	3.560596578
251	3.553065899
252	3.537060157
253	3.524964472
254	3.522306576
255	3.501313434
256	3.498350923
257	3.488339549
258	3.469115437
259	3.449180278
260	3.435860864
261	3.422057009
262	3.407920117
263	3.396660582
264	3.382183059
265	3.362805677
266	3.358987982
267	3.337889562
268	3.324911012
269	3.310159752
270	3.29529059
271	3.27692855
272	3.261637087
273	3.245523258
274	3.232490788
275	3.22153819
276	3.219367302
277	3.205504517
278	3.194985995
279	3.176856726
280	3.162422354
281	3.15046813
282	3.136190804
283	3.12738498
284	3.114375041
285	3.100493945
286	3.086112498
287	3.071582414
288	3.057096935
289	3.044909181
290	3.023689305
291	3.020719515
292	3.010214703
293	2.997183673
294	2.986739314
295	2.976676861
296	2.969077325
297	2.951817847
298	2.944362434
299	2.932181139
300	2.919253632
301	2.909536843
302	2.895125792
303	2.884980046
304	2.879667229
305	2.869367848
306	2.862626852
307	2.85492473
308	2.843683783
309	2.829311631
310	2.823522505
311	2.816824297
312	2.805694426
313	2.789940448
314	2.780157584
315	2.773117521
316	2.766233909
317	2.7585821
318	2.75417361
319	2.752801235
320	2.743632008
321	2.738731246
322	2.73216105
323	2.723476276
324	2.71586289
325	2.703114406
326	2.69605366
327	2.686238955
328	2.675192719
329	2.666692512
330	2.656717974
331	2.651461558
332	2.646846322
333	2.642491283
334	2.62695548
335	2.621104506
336	2.610534988
337	2.603251971
338	2.596439073
339	2.590661664
340	2.586036544
341	2.579476406
342	2.579020323
343	2.572848035
344	2.568526986
345	2.561869568
346	2.554657644
347	2.550033235
348	2.54269646
349	2.535616557
350	2.53234178
351	2.526951118
352	2.517022104
353	2.509583857
354	2.502680963
355	2.502293695
356	2.501864158
357	2.492404311
358	2.483027984
359	2.474140537
360	2.469514664
361	2.469080522
362	2.46007375
363	2.451016408
364	2.4450144
365	2.434861176
