iter	Passed	Remaining
0	8	11702
1	15	10699
2	20	9694
3	26	9277
4	31	8973
5	37	8855
6	43	8775
7	49	8776
8	55	8732
9	61	8667
10	66	8530
11	72	8513
12	78	8505
13	84	8472
14	90	8454
15	96	8455
16	102	8427
17	107	8385
18	113	8372
19	118	8325
20	124	8283
21	129	8264
22	135	8266
23	142	8270
24	148	8273
25	153	8249
26	159	8222
27	165	8255
28	170	8206
29	176	8189
30	182	8191
31	188	8176
32	194	8173
33	200	8161
34	205	8147
35	211	8131
36	217	8119
37	222	8113
38	227	8075
39	233	8047
40	238	8029
41	243	8008
42	249	7995
43	254	7973
44	260	7966
45	265	7950
46	271	7935
47	277	7926
48	283	7932
49	290	7956
50	296	7968
51	304	8020
52	312	8055
53	320	8106
54	327	8139
55	334	8154
56	342	8190
57	349	8203
58	355	8202
59	362	8216
60	369	8230
61	375	8227
62	382	8241
63	388	8239
64	395	8245
65	401	8240
66	407	8232
67	413	8230
68	420	8231
69	426	8226
70	431	8212
71	438	8208
72	443	8195
73	449	8184
74	455	8168
75	460	8150
76	466	8134
77	471	8119
78	477	8110
79	483	8097
80	488	8088
81	494	8077
82	500	8061
83	505	8046
84	511	8036
85	517	8033
86	523	8024
87	528	8013
88	534	8000
89	540	7991
90	545	7979
91	551	7960
92	557	7958
93	563	7956
94	569	7947
95	574	7932
96	579	7913
97	585	7903
98	590	7886
99	596	7874
100	602	7869
101	607	7861
102	613	7847
103	618	7838
104	624	7829
105	630	7821
106	636	7814
107	641	7804
108	647	7795
109	653	7791
110	659	7788
111	665	7783
112	671	7772
113	677	7763
114	682	7753
115	688	7749
116	694	7738
117	699	7729
118	705	7722
119	711	7718
120	717	7706
121	723	7702
122	728	7689
123	734	7678
124	739	7665
125	745	7657
126	750	7649
127	756	7639
128	761	7629
129	767	7625
130	773	7617
131	779	7609
132	785	7604
133	791	7597
134	796	7584
135	802	7582
136	808	7576
137	813	7562
138	819	7556
139	825	7549
140	830	7539
141	836	7532
142	841	7520
143	847	7518
144	853	7513
145	859	7509
146	866	7505
147	872	7504
148	877	7490
149	883	7483
150	888	7470
151	893	7462
152	899	7450
153	904	7444
154	910	7437
155	916	7433
156	922	7426
157	928	7420
158	934	7413
159	940	7410
160	946	7403
161	951	7395
162	957	7389
163	963	7381
164	969	7377
165	975	7372
166	981	7367
167	986	7361
168	992	7355
169	998	7348
170	1004	7343
171	1010	7336
172	1016	7329
173	1021	7317
174	1026	7308
175	1032	7302
176	1037	7292
177	1043	7289
178	1050	7285
179	1056	7285
180	1062	7278
181	1068	7270
182	1073	7259
183	1079	7254
184	1084	7247
185	1090	7239
186	1095	7232
187	1101	7223
188	1107	7217
189	1112	7209
190	1118	7204
191	1124	7196
192	1129	7186
193	1135	7180
194	1141	7174
195	1146	7168
196	1153	7164
197	1158	7158
198	1164	7151
199	1170	7147
200	1176	7140
201	1182	7134
202	1187	7126
203	1193	7119
204	1199	7112
205	1204	7103
206	1210	7097
207	1215	7087
208	1221	7081
209	1227	7075
210	1232	7069
211	1238	7061
212	1243	7052
213	1249	7046
214	1255	7040
215	1261	7034
216	1266	7027
217	1272	7021
218	1278	7014
219	1283	7005
220	1288	6997
221	1294	6989
222	1299	6983
223	1305	6975
224	1310	6965
225	1316	6959
226	1321	6953
227	1327	6947
228	1333	6938
229	1339	6937
230	1346	6935
231	1353	6934
232	1359	6934
233	1366	6930
234	1372	6926
235	1379	6924
236	1385	6919
237	1390	6913
238	1396	6906
239	1402	6901
240	1408	6895
241	1414	6889
242	1420	6887
243	1427	6885
244	1433	6882
245	1440	6879
246	1446	6876
247	1452	6872
248	1459	6867
249	1465	6862
250	1471	6860
251	1478	6856
252	1483	6850
253	1490	6847
254	1496	6842
255	1503	6839
256	1509	6835
257	1515	6831
258	1521	6826
259	1528	6823
260	1534	6819
261	1540	6814
262	1545	6806
263	1551	6799
264	1556	6790
265	1561	6781
266	1567	6776
267	1573	6768
268	1579	6762
269	1584	6753
270	1589	6745
271	1594	6737
272	1600	6730
273	1606	6723
274	1612	6718
275	1617	6711
276	1623	6703
277	1628	6696
278	1634	6691
279	1640	6685
280	1646	6679
281	1651	6671
282	1657	6663
283	1663	6658
284	1669	6653
285	1675	6647
286	1680	6640
287	1686	6633
288	1691	6626
289	1697	6621
290	1703	6614
291	1709	6608
292	1715	6602
293	1720	6593
294	1726	6588
295	1731	6581
296	1736	6572
297	1742	6567
298	1748	6561
299	1754	6555
300	1759	6547
301	1765	6541
302	1771	6535
303	1777	6530
304	1782	6523
305	1789	6519
306	1794	6513
307	1801	6508
308	1806	6501
309	1812	6497
310	1818	6490
311	1823	6483
312	1829	6476
313	1835	6470
314	1840	6463
315	1846	6457
316	1852	6452
317	1858	6446
318	1864	6439
319	1869	6433
320	1875	6426
321	1880	6419
322	1886	6412
323	1892	6406
324	1898	6402
325	1903	6395
326	1909	6389
327	1915	6382
328	1921	6376
329	1926	6368
330	1931	6362
331	1937	6354
332	1943	6348
333	1949	6343
334	1955	6338
335	1960	6332
336	1966	6326
337	1973	6321
338	1978	6315
339	1984	6309
340	1990	6303
341	1995	6295
342	2000	6288
343	2006	6282
344	2012	6275
345	2017	6269
346	2023	6262
347	2029	6256
348	2034	6250
349	2041	6245
350	2046	6239
351	2052	6234
352	2057	6226
353	2063	6219
354	2069	6213
355	2074	6205
356	2080	6199
357	2085	6193
358	2092	6189
359	2098	6183
360	2103	6177
361	2109	6171
362	2115	6166
363	2121	6160
364	2127	6154
365	2132	6148
366	2138	6142
367	2144	6136
368	2149	6129
369	2155	6122
370	2161	6116
371	2166	6110
372	2171	6101
373	2176	6094
374	2183	6089
375	2188	6082
376	2193	6075
377	2199	6068
378	2204	6061
379	2210	6055
380	2216	6049
381	2222	6044
382	2227	6037
383	2233	6032
384	2239	6026
385	2245	6020
386	2251	6014
387	2256	6008
388	2262	6002
389	2267	5995
390	2273	5990
391	2279	5983
392	2285	5977
393	2291	5971
394	2297	5966
395	2302	5959
396	2308	5953
397	2314	5947
398	2319	5940
399	2324	5932
400	2329	5926
401	2335	5919
402	2341	5914
403	2346	5907
404	2352	5901
405	2358	5896
406	2364	5890
407	2370	5885
408	2376	5880
409	2383	5876
410	2389	5871
411	2395	5866
412	2401	5860
413	2406	5853
414	2412	5847
415	2418	5842
416	2424	5837
417	2430	5831
418	2435	5824
419	2441	5819
420	2447	5813
421	2453	5807
422	2459	5802
423	2464	5795
424	2470	5790
425	2476	5783
426	2481	5777
427	2487	5772
428	2492	5764
429	2498	5758
430	2504	5751
431	2509	5744
432	2514	5737
433	2520	5731
434	2525	5725
435	2532	5720
436	2539	5717
437	2545	5713
438	2552	5709
439	2558	5703
440	2564	5699
441	2570	5694
442	2577	5689
443	2583	5684
444	2590	5680
445	2596	5675
446	2602	5670
447	2608	5664
448	2614	5659
449	2620	5655
450	2627	5650
451	2633	5645
452	2639	5640
453	2645	5634
454	2651	5628
455	2656	5622
456	2662	5616
457	2668	5610
458	2673	5603
459	2679	5597
460	2684	5591
461	2690	5584
462	2696	5579
463	2701	5572
464	2707	5567
465	2713	5560
466	2719	5554
467	2724	5548
468	2731	5543
469	2737	5538
470	2743	5532
471	2749	5527
472	2754	5519
473	2759	5513
474	2764	5506
475	2770	5500
476	2776	5494
477	2782	5488
478	2787	5482
