date,game_id,home_team,away_team,home_score,away_score,season,point_diff,total_points,home_win,home_avg_points_L5,home_avg_allowed_L5,home_win_rate_L5,away_avg_points_L5,away_avg_allowed_L5,away_win,away_win_rate_L5,home_advantage,point_spread_estimate
2024-10-04,0012400001,Denver Nuggets,Boston Celtics,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-04,0012400002,Utah Jazz,Team_15020,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-04,0012400003,Los Angeles Lakers,Minnesota Timberwolves,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-05,0012400004,Los Angeles Clippers,Golden State Warriors,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-06,0012400005,Boston Celtics,Denver Nuggets,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-06,0012400006,Charlotte Hornets,New York Knicks,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-06,0012400007,Toronto Raptors,Washington Wizards,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-06,0012400008,Detroit Pistons,Milwaukee Bucks,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-06,0012400009,Los Angeles Lakers,Phoenix Suns,0,0,2024-25,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.5,3,
2024-10-07,0012400014,Utah Jazz,Houston Rockets,0,0,2024-25,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.5,3,
2024-10-07,0012400012,Dallas Mavericks,Memphis Grizzlies,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-07,0012400013,San Antonio Spurs,Oklahoma City Thunder,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
2024-10-07,0012400010,New Orleans Pelicans,Orlando Magic,0,0,2024-25,0,0,0,0.0,0.0,0.5,0.0,0.0,1,0.5,3,
